Name,Set,Imagefile,Color,Rarity,Cost,Class,Type,Range,Attack,Support,Skill1,Skill2,Skill3,Skill4
"Fir, Blade Aiming for the Top",B05,B05-035N_SAMPLE.png,Purple,N,2,Myrmidon,Female/Sword,1,50,10,"Knight-Errant |CONT| If this unit is attacking a <Sword>, this unit gains +20 attack.",-,-,-
"Fir, Wandering Swordswoman",B05,B05-036HN_SAMPLE.png,Purple,HN,1,Myrmidon,Female/Sword,1,40,10,"Wo Dao |ACT| [Flip 1 Bond face-down] Until the end of the turn, this unit's attack cannot be evaded by non-Main Character enemies.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Klein, Silver Nobleman",B05,B05-037HN_SAMPLE.png,Purple,HN,3(2),Sniper,Male/Bow,2,50,20,"Resourceful Marksman |ACT| [Once per Turn] [Reveal and place 1 <Bow> card from your hand on top of your Deck] Choose 1 <Flier> enemy, and move them.","Anti-Fliers |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.",-,-
"Thea, Brave Flower of Ilia",B05,B05-038R_SAMPLE.png,Purple,R,3(2),Falcon Knight,Female/Lance/Flier/Beast,1,50,30,"[FS] Triangle Attack |AUTO| [Tap allied ""Juno"" and ""Shanna""] When this unit attacks, you may the cost and if you do: Until the end of this combat, this unit gains +30 attack and this unit's attack cannot be evaded.","Ilia's Three Pegasus |CONT| If this unit is being supported by ""Juno"" or ""Shanna"", this unit gains +20 attack.",-,-
"Thea, Brave Flower of Ilia+",B05,B05-038Rplus_SAMPLE.png,Purple,R+,3(2),Falcon Knight,Female/Lance/Flier/Beast,1,50,30,"[FS] Triangle Attack |AUTO| [Tap allied ""Juno"" and ""Shanna""] When this unit attacks, you may the cost and if you do: Until the end of this combat, this unit gains +30 attack and this unit's attack cannot be evaded.","Ilia's Three Pegasus |CONT| If this unit is being supported by ""Juno"" or ""Shanna"", this unit gains +20 attack.",-,-
"Thea, Stormy Flier",B05,B05-039N_SAMPLE.png,Purple,N,1,Pegasus Knight,Female/Lance/Flier/Beast,1,30,30,"Fluttering White Wings |AUTO| After this unit attacks, if this unit isn't your Main Character, you may place this card on top of your Deck.",-,-,"|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally."
"Perceval, Knight General of Etruria",B05,B05-040HN_SAMPLE.png,Purple,HN,3(2),Paladin,Male/Lance/Beast,1,60,10,Knight among Knight |CONT| Enemies in the Back Line cannot attack allies who have a Support Skill.,"He who rules the Knights |CONT| If the card supporting this unit is a <Beast>, this unit gains +10 attack.",-,"|ATK SUPP| General's Brave Lance: If your attacking unit is <Beast>, until the end of this combat, that unit gains +20 attack."
"Cecilia, Mage General of Etruria",B05,B05-041HN_SAMPLE.png,Purple,HN,3(2),Valkyrie,Female/Tome/Beast,1-2,50,20,"Lesson in Tactics |ACT| [Once per Turn] [Flip 2 Bonds face-down] Choose 1 enemy, and move them.","Master of Magic |CONT| If the card supporting this unit is a <Tome>, this unit gains +10 attack.",-,-
"Sophia, Dragon Blood Inheriting Priestess",B05,B05-042SR_SAMPLE.png,Purple,SR,4(3),Druid,Female/Tome,1-2,60,20,"Divination of the Divine Dragon |ACT| [Flip 3 Bonds face-down, Reveal 1 ""Sophia"" card in your hand and place it on top of your Deck] Your opponent chooses 2 cards in their hand, and sends them to their Retreat Area.",-,-,"|ATK SUPP| Coursing Dragon Blood: If your opponent has 3 or lower cards in their hand, until the end of this combat, your attacking unit gains +20 attack."
"Sophia, Prophet of the Hidden Village",B05,B05-043N_SAMPLE.png,Purple,N,1,Shaman,Female/Tome,1-2,30,20,Prophecy |ACT| [Tap this unit] Look at the topmost card of your Deck. You may send it to your Retreat Area.,-,-,"|ATK SUPP| Darkness Emblem: If your opponent has 5 or more cards in their hand, your opponent chooses 1 card from their hand and sends it to the Retreat Area."
"Fae, Divine Dragon",B05,B05-044R_SAMPLE.png,Purple,R,3,Manakete,Female/Dragonstone/Dragon,1,50,20,"The Eternal Child |ACT| [Once per Turn] Choose 1 of your Bond cards, and place it on top of your Deck.","Pure-Blooded Divine Dragon |CONT| If you have 6 or more Bond cards, this unit gains +30 attack.",-,-
"Fae, Innocent Dragon Girl",B05,B05-045N_SAMPLE.png,Purple,N,1,Manakete,Female/Dragonstone/Dragon,1,30,20,"Pure-Blooded Divine Dragon |CONT| If you have 4 or more Bond cards, this unit gains +30 attack.",-,-,"|ATK SUPP| Dragonkin Emblem: If the attacking unit is <Purple>, choose 1 card in your hand, and you may place it in your Bond Area."
"Juno, Graceful Flower of Ilia",B05,B05-046R_SAMPLE.png,Purple,R,3(2),Falcon Knight,Female/Lance/Flier/Beast,1,50,30,"[FS] Triangle Attack |AUTO| [Tap allied ""Thea"" and ""Shanna""] When this unit attacks, you may the cost and if you do: Until the end of this combat, this unit gains +30 attack and this unit's attack cannot be evaded.","Ilia's Three Pegasus |CONT| If this unit is being supported by ""Thea"" or ""Shanna"", this unit gains +20 attack.",-,-
"Juno, Graceful Flower of Ilia+",B05,B05-046Rplus_SAMPLE.png,Purple,R+,3(2),Falcon Knight,Female/Lance/Flier/Beast,1,50,30,"[FS] Triangle Attack |AUTO| [Tap allied ""Thea"" and ""Shanna""] When this unit attacks, you may the cost and if you do: Until the end of this combat, this unit gains +30 attack and this unit's attack cannot be evaded.","Ilia's Three Pegasus |CONT| If this unit is being supported by ""Thea"" or ""Shanna"", this unit gains +20 attack.",-,-
"Juno, Legendary Flier",B05,B05-047N_SAMPLE.png,Purple,N,1,Pegasus Knight,Female/Lance/Flier/Beast,1,30,30,"Captain of the Pegasus Knights |CONT| If this unit is being supported by a <Flier>, this unit gains +10 attack.",-,-,"|ATK SUPP| Flying Emblem: You may choose one ally that is not the attacking unit, and move it."
"Narcian, Crafty Wyvern General",B05,B05-048SR_SAMPLE.png,Purple,SR,4(3),Wyvern Lord,Male/Sword/Flier/Dragon,1,60,30,"Machiavellism |AUTO| [Flip 1 Bond face-down] When this unit is deployed, if your opponent has more cards in their hand than you, you may pay the cost and if you do: Your opponent chooses 1 card from their hand, reveals it, and places it on top of their Deck.",Tactician's Howling Laughter |CONT| All enemies and your opponent's Support cards lose their Support Skills.,-,-
"Narcian, Crafty Wyvern General+",B05,B05-048SRplus_SAMPLE.png,Purple,SR+,4(3),Wyvern Lord,Male/Sword/Flier/Dragon,1,60,30,"Machiavellism |AUTO| [Flip 1 Bond face-down] When this unit is deployed, if your opponent has more cards in their hand than you, you may pay the cost and if you do: Your opponent chooses 1 card from their hand, reveals it, and places it on top of their Deck.",Tactician's Howling Laughter |CONT| All enemies and your opponent's Support cards lose their Support Skills.,-,-
"Randal, Smiling Tornado",B05,B05-049HN_SAMPLE.png,Purple,HN,3(2),Paladin,Male/Sword/Beast,1,60,10,There's still one more. |CONT| The Support Skill of this unit's Support activates a 2nd time.,"Let's get serious. |CONT| If the card supporting this unit has a Support Skill, this unit gains +10 attack.",-,-
"Randal, Twin Blade Cavalier of Winds",B05,B05-050N_SAMPLE.png,Purple,N,1,Cavalier,Male/Sword/Beast,1,40,10,Today's Companion |CONT| This unit acquires the <Symbol> of the card supporting this unit.,-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Micaiah, Priestess of Hope",B05,B05-051SR_SAMPLE.png,Green,SR,5(3),Light Priestess,Female/Tome,1-2,60,20,"Shine |ACT| [Once per Turn] [Flip 1 Bond face-down, Stack 2 ""Micaiah"" from your Retreat Area under this unit to Growth them] Draw 1 card.","[LvS5] Priestess of Dawn |CONT| During your turn, your other allies gain +10 attack. ([LvS5] is active if a total of 5 or more cards are stacked with this unit.)",-,-
"Micaiah, Priestess of Hope+",B05,B05-051SRplus_SAMPLE.png,Green,SR+,5(3),Light Priestess,Female/Tome,1-2,60,20,"Shine |ACT| [Once per Turn] [Flip 1 Bond face-down, Stack 2 ""Micaiah"" from your Retreat Area under this unit to Growth them] Draw 1 card.","[LvS5] Priestess of Dawn |CONT| During your turn, your other allies gain +10 attack. ([LvS5] is active if a total of 5 or more cards are stacked with this unit.)",-,-
"Micaiah, Priestess of Dawn",B05,B05-052N_SAMPLE.png,Green,N,3(2),Light Sage,Female/Tome,1-2,50,20,"Thani |CONT| If this unit is attacking a <Beast> or <Armored>, this unit gains +10 attack.",-,-,-
"Micaiah, Silver-Haired Maiden",B05,B05-053HN_SAMPLE.png,Green,HN,1,Light Mage,Female/Tome,1-2,30,20,"Healing Hands |ACT| [Tap this unit, Destroy this unit] Choose 1 ally. Until the end of your opponent's next turn, that ally gains +10 attack.",-,-,"|DEF SUPP| Miracle Emblem: Until the end of this combat, your opponent’s attacking unit cannot perform a Critical Hit."
"Sothe, Guardian of Hope",B05,B05-054SR_SAMPLE.png,Green,SR,5(3),Spy,Male/Knife,1,70,10,"Bane |AUTO| [Once per Turn] [Flip 2 Bonds face-down] When an enemy is deployed, you may pay the cost and if you do: Destroy that enemy. This skill is only usable during your opponent's turn.","Green Shadow of Protection |AUTO| When this unit's attack or skill destroys an enemy, reveal the top card of your opponent's deck. You may send it to the Retreat Area.",-,-
"Sothe, Guardian of Hope+",B05,B05-054SRplus_SAMPLE.png,Green,SR+,5(3),Spy,Male/Knife,1,70,10,"Bane |AUTO| [Once per Turn] [Flip 2 Bonds face-down] When an enemy is deployed, you may pay the cost and if you do: Destroy that enemy. This skill is only usable during your opponent's turn.","Green Shadow of Protection |AUTO| When this unit's attack or skill destroys an enemy, reveal the top card of your opponent's deck. You may send it to the Retreat Area.",-,-
"Sothe, Zephyr",B05,B05-055N_SAMPLE.png,Green,N,3(2),Rogue,Male/Knife,1,50,10,"The Wind that Protects the Maiden |CONT| If you have an allied ""Micaiah"", this unit gains +20 attack.",-,-,-
"Sothe, Young Phantom Thief",B05,B05-056HN_SAMPLE.png,Green,HN,1,Thief,Male/Knife,1,30,10,[LvS2] Steel Knife |CONT| This unit gains +10 attack and range 1-2. ([LvS2] is active if a total of 2 or more cards are stacked with this unit.),-,-,|ATK SUPP| Thief Emblem: Reveal the topmost card of your opponent’s deck. You may send that card to the Retreat Area.
"Edward, Lively Master Fencer",B05,B05-057R_SAMPLE.png,Green,R,3(2),Swordmaster,Male/Sword,1,60,10,"[LvS2] ""Don't treat me like a child!"" |CONT| During your turn, this unit gains +10 attack.","[LvS3] ""Is this a better way to fight?"" |CONT| During your opponent's turn, this unit gains +10 attack.",[LvS4] Caladbolg |CONT| This unit gains +10 attack. ([LvS X] is active if a total of X or more cards are stacked with this unit.),-
"Edward, Back Alley Fencer",B05,B05-058N_SAMPLE.png,Green,N,1,Myrmidon,Male/Sword,1,40,10,"[LvS2] Basis of Fighting |CONT| During your turn, this unit gains +20 attack.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Leonardo, Furiously Piercing Bow",B05,B05-059HN_SAMPLE.png,Green,HN,3(2),Sniper,Male/Bow,2,50,20,"Crossbow |ACT| [Once per Turn] [Flip 1 Bond face-down] Until the end of the turn, this unit gains +10 attack and range 1-2.","Anti-Fliers |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.",-,-
"Leonardo, Freedom's Arrow",B05,B05-060N_SAMPLE.png,Green,N,1,Archer,Male/Bow,2,30,20,"[LvS2] Calm Eye |CONT| During your turn, this unit gains +20 attack. ([LvS2] is active if a total of 2 or more cards are stacked with this unit.)","Anti-Fliers |CONT| If this unit is attacking a <Flier>, this unit gains +30 attack.",-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Nolan, Wise Champion",B05,B05-061N_SAMPLE.png,Green,N,1,Fighter,Male/Axe,1,30,10,"Fighter's Expertise |CONT| During your turn, this unit gets +20 attack.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Laura, Deeply Devoted Priestess",B05,B05-062HN_SAMPLE.png,Green,HN,3(2),Bishop,Female/Tome,1-2,50,20,"Natural Saint |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 2 non-""Laura"" cards with different Unit Names from your Retreat Area, and add them to your hand. Afterwards, your opponent chooses 1 card in your hand without looking and sends it to the Retreat Area.",-,-,-
"Laura, Carefree Saint",B05,B05-063N_SAMPLE.png,Green,N,1,Cleric,Female/Staff,-,10,20,"Heal |ACT| [Tap this unit, Flip 2 Bonds face-down] Choose 1 non-""Laura"" card from your Retreat Area, and add it to your hand.","Staff Strike |CONT| During your turn, all <Staff> allies gain +10 attack and range 1.",-,"|DEF SUPP| Miracle Emblem: Until the end of this combat, your opponent’s attacking unit cannot perform a Critical Hit."
"Aran, Champion of Faith",B05,B05-064HN_SAMPLE.png,Green,HN,3(2),Halberdier,Male/Lance,1,60,10,"Lance of Faith |CONT| If this unit is attacking a non-Main Character enemy, this unit gains +20 attack.","[LvS3] Spear |ACT| [Once per Turn] [Flip 1 Bond face-down] Until the end of the turn, this unit gains +10 attack and range 1-2. ([LvS3] comes into effect if a total of 3 or more cards are stacked with this unit.)",-,-
"Aran, Warm-Hearted Spearman",B05,B05-065N_SAMPLE.png,Green,N,1,Soldier,Male/Lance,1,40,10,"Empire's Spear |CONT| If this unit is attacking a non-Main Character enemy, this unit gains +10 attack.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Meg, Wayfairing Country Girl",B05,B05-066N_SAMPLE.png,Green,N,1,Knight,Female/Sword/Armored,1,30,10,"Meg's Shield |AUTO| [Tap this unit] When an other ally with a Deployment Cost of 1 is attacked, you may pay the cost and if you do: This unit becomes the target of that attack. This skill is only usable if this unit is in the Front Line.",-,-,"|DEF SUPP| Defense Emblem: Until the end of this combat, your defending unit gains +20 attack."
"Volug, Silent Fang",B05,B05-067HN_SAMPLE.png,Green,HN,3,Wolf Tribe,Male/Fang/Beast,1,60,10,"[LvS2] Transform |CONT| If this unit is in the Front Line, this unit gains +10 attack, and can attack enemies in the Back Line regardless of range. ([LvS2] is active if a total of 2 or more cards are stacked with this unit.)","Sense of the Wild |CONT| If this unit is in combat with enemy in the Back Line, this unit gains +20 attack.",-,-
"Volug, Black Wolf of the Sands",B05,B05-068N_SAMPLE.png,Green,N,1,Wolf Tribe,Male/Fang/Beast,1,40,10,"Warrior of Hatari |CONT| If the card supporting this unit is a <Fang>, this unit gains +10 attack.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Tormod, Leader of the Laguz Emancipation Army",B05,B05-069HN_SAMPLE.png,Green,HN,3(2),Fire Sage,Male/Tome,1-2,50,20,"Laguz Slave Emancipation Army |CONT| During your turn, If you have 2 or more <Fang> allies, this unit gains +10 attack.",Celerity |ACT| [Once per Turn] Move this unit. This skill is only usable if this unit is untapped.,-,-
"Tormod, Plucky Freedom Fighter",B05,B05-070N_SAMPLE.png,Green,N,1,Fire Mage,Male/Tome,1-2,30,20,"Firewalk |AUTO| After this unit attacks and if this unit is in the Front Line, you may move this unit.",-,-,"|ATK SUPP| Magic Emblem: Draw 1 card. Choose 1 card in your hand, and send it to the Retreat Area."
"Muarim, Desert's Water",B05,B05-071N_SAMPLE.png,Green,N,1,Beast Tribe,Male/Fang/Beast,1,40,10,"[LvS2] Loyal Deputy |CONT| If you have an allied ""Tormod"", this unit gains +30 attack. ([LvS2] is active if a total of 2 or more cards are stacked with this unit.)",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Vika, Liberation's Talon",B05,B05-072HN_SAMPLE.png,Green,HN,2,Bird Tribe,Female/Fang/Flier/Beast,1,40,20,"Black Wings |ACT| [Tap this unit] Move 1 other ally. If this unit is Levelled Up, you may move any number of your other allies as you wish instead.",-,-,-
"Nailah, Queen of Hatari",B05,B05-073R_SAMPLE.png,Green,R,4,Wolf Tribe,Female/Fang/Beast,1,70,10,"Glare |AUTO| When this unit attacks and if your opponent has 5 or more cards in their hand: Your opponent chooses 1 card in their hand, and send it to the Retreat Area.","Majesty |AUTO| If you have 2 or more other <Fang> allies, enemies in the Back Line cannot attack this unit.",-,-
"Nailah, Queen of Hatari+",B05,B05-073Rplus_SAMPLE.png,Green,R+,4,Wolf Tribe,Female/Fang/Beast,1,70,10,"Glare |AUTO| When this unit attacks and if your opponent has 5 or more cards in their hand: Your opponent chooses 1 card in their hand, and send it to the Retreat Area.","Majesty |AUTO| If you have 2 or more other <Fang> allies, enemies in the Back Line cannot attack this unit.",-,-
"Elincia, Devoted Queen",B05,B05-074R_SAMPLE.png,Green,R,5(3),Queen,Female/Sword/Flier/Beast,1,60,30,"Sacred Treasure Amiti |AUTO| [Once per Turn] When an other ally is Levelled Up or Growthed, you may untap this unit.","Queen's Encouragement |ACT| [Once per Turn] [Tap,Flip 2] Choose 1 ally. Choose 1 <Green> card with the same Unit Name as that ally from your Deck, and place it on top of that ally to Level Up them. Afterwards, shuffle your deck.",-,-
"Elincia, Devoted Queen+",B05,B05-074Rplus_SAMPLE.png,Green,R+,5(3),Queen,Female/Sword/Flier/Beast,1,60,30,"Sacred Treasure Amiti |AUTO| [Once per Turn] When an other ally is Levelled Up or Growthed, you may untap this unit.","Queen's Encouragement |ACT| [Once per Turn] [Tap,Flip 2] Choose 1 ally. Choose 1 <Green> card with the same Unit Name as that ally from your Deck, and place it on top of that ally to Level Up them. Afterwards, shuffle your deck.",-,-
"Haar, Black Tempest",B05,B05-075HN_SAMPLE.png,Green,HN,3(2),Wyvern Lord,Male/Axe/Flier/Dragon,1,50,30,"[LvS3] Awakened Dragon Fang |CONT| During your turn, this unit gains +20 attack. ([LvS3] is active if a total of 3 or more cards are stacked with this unit.)","Hand Axe |ACT| [Flip 1 Bond face-down] Until the end of the turn, this unit acquires range 1-2.",-,-
"Haar, Black Dracoknight",B05,B05-076N_SAMPLE.png,Green,N,1,Wyvern Rider,Male/Axe/Flier/Dragon,1,30,30,"Afternoon Nap |ACT| [Once per Turn] [Stack 1 ""Haar"" from your Retreat Area under this unit to Growth them] Choose 1 other ally, and move them. (A Growthed unit is treated as if it is Leveled Up. If they possess a [CCS], they are able to use it.)",-,-,"|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally."
"Nephenee, Patriotic War Princess",B05,B05-077R_SAMPLE.png,Green,R,3(2),Halberdier,Female/Lance,1,60,10,"Furious Point |ACT| [Once per Turn] [Flip 1 Bond face-down, Stack 1 ""Nephenee"" from your Retreat Area under this unit to Growth them] Until the end of the turn, this unit's attack is doubled.","Javelin |ACT|  [Flip 1 Bond face-down] Until the end of the turn, this unit acquires range 1-2.",-,-
"Nephenee, Relentless Halberdier",B05,B05-078N_SAMPLE.png,Green,N,1,Soldier,Female/Lance,1,40,10,"Militia Woman |AUTO| When this unit attacks, if you have 2 or more other allies in the Front Line, until the end of the turn, this unit gains +10 attack.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Heather, Alluring Rogue",B05,B05-079HN_SAMPLE.png,Green,HN,2,Thief,Female/Knife,1,50,10,"Locktouch |ACT| [Once per Turn] [Flip 1 Bond face-down] Reveal the top card of the opponent's Deck. If the revealed card is <Female>, draw 1 card.",-,-,-
"Lucia, Eternal Sword of Loyalty",B05,B05-080R_SAMPLE.png,Green,R,3(2),Swordmaster,Female/Sword,1,60,10,"Expert Swordsmanship |AUTO| When this unit is growthed, until the end of the turn, this unit's attacks cannot be evaded.","Tireless Advisor |CONT| If this unit is being supported by ""Elincia"", this unit gains +10 attack.",-,-
"Lucia, Queen's Swordswoman",B05,B05-081N_SAMPLE.png,Green,N,1,Myrmidon,Female/Sword,1,40,10,"White Sword of Protection |CONT| If you have an allied ""Elincia"", this unit gains +10 attack.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Geoffrey, Lancer General",B05,B05-082SR_SAMPLE.png,Green,SR,4(3),Lance General,Male/Lance/Beast,1,70,10,"Glory to the Queen! |CONT| During either player's turn, if you have 1 or more other allies who have Levelled Up or Growth in that turn, all of your Front Line allies gain +10 attack per each of those allies. However, do not count allies who were Levelled Up or Growth while this unit was not on the Battlefield.","[CCS] Commander of the Royal Guards |AUTO| [Once per Turn] When an other ally Levels Up or is Growthed, you may choose 1 enemy in the Back Line, and move them.",-,-
"Geoffrey, Protector of the Realm",B05,B05-083N_SAMPLE.png,Green,N,1,Lance Knight,Male/Lance/Beast,1,40,10,"Guarding Blue Spear |CONT| During your opponent's turn, your allied ""Elincia"" gains +20 attack.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Sigrun, Commander of the Holy Guard",B05,B05-084R_SAMPLE.png,Green,R,4(3),Falcon Knight,Female/Lance/Flier/Beast,1,60,30,"General's Silver Wings |CONT| During your turn, for every card stacked underneath this unit, all other <Flier> allies gain +10 attack.","Graceful Wing |AUTO| When this unit evades, you choose 1 ""Sigrun"" from your Retreat Area, and place it underneath this unit to growth her. (Growth units are treated as Levelled Up. [CCS] skills may be used if they have any [CCS].)",-,-
"Sigrun, Pure White Pegasus Knight",B05,B05-085N_SAMPLE.png,Green,N,1,Pegasus Knight,Female/Lance/Flier/Beast,1,30,30,"Hidden Prominence |AUTO| Each time another <Flier> ally is deployed, until the end of the turn, this unit gains +10 attack.",-,-,"|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally."
"Sanaki, Empress of Begnion",B05,B05-086SR_SAMPLE.png,Green,SR,5(3),Empress,Female/Tome,1-2,60,20,"The Empress's Exhortation |AUTO| [Once Per Turn] When an other <Green> ally is deployed, you may choose as many cards with the same Unit Name as that ally from your Retreat Area as you wish, and stack them under them to Growth them. (A Growthed unit is treated as if it is Leveled Up. If they possess a [CCS], they are able to use it.)",[CCS] Royal Uplifting |CONT| This unit gains +10 attack per other Leveled Up ally. ([CCS]: This skill is inactive unless this unit has Class Changed).,-,-
"Sanaki, Empress of Begnion+",B05,B05-086SRplus_SAMPLE.png,Green,SR+,5(3),Empress,Female/Tome,1-2,60,20,"The Empress's Exhortation |AUTO| [Once Per Turn] When an other <Green> ally is deployed, you may choose as many cards with the same Unit Name as that ally from your Retreat Area as you wish, and stack them under them to Growth them. (A Growthed unit is treated as if it is Leveled Up. If they possess a [CCS], they are able to use it.)",[CCS] Royal Uplifting |CONT| This unit gains +10 attack per other Leveled Up ally. ([CCS]: This skill is inactive unless this unit has Class Changed).,-,-
"Sanaki, Child Emperor",B05,B05-087HN_SAMPLE.png,Green,HN,4(2),Empress,Female/Tome,1-2,50,20,"Descendant of Altina |CONT| If this unit is attacking a <Beast>, <Flier>, or <Dragon>, this unit gains +20 attack.",-,-,-
"Sanaki, Begnion's Apostle",B05,B05-088N_SAMPLE.png,Green,N,1,Apostle,Female,-,30,20,"Apostle's Orders |ACT| [Tap this unit, Flip 1 Bond face-down] Choose 1 other ally. Choose 1 card with the same Unit Name as that ally from your Retreat Area, then stack it under that ally to Growth them. (A Growthed unit is treated as if it is Leveled Up. If they possess a [CCS], they are able to use it.)",-,-,"|ATK SUPP| Magic Emblem: Draw 1 card. Choose 1 card in your hand, and send it to the Retreat Area."
"Ike, Radiant Hero",B05,B05-089SR_SAMPLE.png,Green,SR,6(4),Vanguard,Male/Sword,1,70,20,"Aether |AUTO| [Flip 5 Bonds face-down] When this unit attacks the Main Character, you may pay the cost and if you do: Choose up to 2 non-Main Character enemies, and destroy them. Until the end of your opponent's next turn, this unit gains +10 attack.","Memories of War |CONT| The cost of ""Aether"" is reduced by 1 Bond for each card stacked underneath this unit. The skill's cost cannot be reduced to 0.",-,-
"Soren, Staff Officer of Frozen Winds",B05,B05-090R_SAMPLE.png,Green,R,3(2),Wind Sage,Male/Tome,1-2,50,20,"Optimal Strategy |ACT| [Once per Turn] [Flip 2 Bonds face-down] Draw 3 cards. Choose 2 cards in your hand, and send them to the Retreat Area.",-,-,-
"Soren, Staff Officer of Frozen Winds+",B05,B05-090Rplus_SAMPLE.png,Green,R+,3(2),Wind Sage,Male/Tome,1-2,50,20,"Optimal Strategy |ACT| [Once per Turn] [Flip 2 Bonds face-down] Draw 3 cards. Choose 2 cards in your hand, and send them to the Retreat Area.",-,-,-
"Soren, Silent Master of Winds",B05,B05-091N_SAMPLE.png,Green,N,1,Wind Mage,Male/Tome,1-2,30,20,"The Mercenaries' Tactician |CONT| If you have less Orbs than your opponent, this unit gains +10 attack.",-,-,"|ATK SUPP| Tactical Emblem: If your attacking unit is <Green>, choose 1 enemy besides your opponent’s defending unit. You may move them."
"Mia, Aspiring Lady of Blades",B05,B05-092SR_SAMPLE.png,Green,SR,3(2),Swordmaster,Female/Sword,1,60,10,"Even higher! Even stronger! |AUTO| [Flip 1 Bond face-down] When this unit's attack destroys an enemy, you may pay the cost and if you do: Reveal the top 4 cards of your Deck. If there are any cards with a Deployment Cost of 4 or higher among those cards, add 1 to your hand, then send the remaining to the Retreat Area.","Not Enough Opponents! |CONT| If this unit is in combat with an enemy with a Deployment Cost of 4 or higher, this unit gains +10 attack.",-,-
"Mia, Travelling Swordswoman",B05,B05-093HN_SAMPLE.png,Green,HN,1,Myrmidon,Female/Sword,1,40,10,"Let's fight shall we? |ACT| [Once per Turn] [Flip 1 Bond face-down, Stack 1 ""Mia"" from your Retreat Area under this unit to Growth her] Choose 1 enemy in the Back Line, and move them. (A Growthed unit is treated as if it is Leveled Up. If they possess a [CCS], they are able to use it.)",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Lyre, Moody Battle Cat",B05,B05-094HN_SAMPLE.png,Green,HN,2,Beast Tribe,Female/Fang/Beast,1,50,10,"[LvS2] Shift |CONT| If this unit is in the Front Line, this unit gains +10 attack, and can attack enemies in the Back Line regardless of range. ([LvS2] comes into effect if a total of 2 or more cards are stacked with this unit.)","Admiring the Captain |CONT| If you have 1 or more other <Fang> allies, this unit gains +10 attack.",-,-
"Lyre, Finder of Secrets",B05,B05-095N_SAMPLE.png,Green,N,1,Beast Tribe,Female/Fang/Beast,1,40,10,"Nimble Cat Sister |CONT| If this unit is in the Front Line, this unit can attack <Bow> enemies regardless of range.",-,-,"|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack."
"Bastian, Deputy Prime Minister of Crimea",B05,B05-096HN_SAMPLE.png,Green,HN,4(3),Wind Sage,Male/Tome,1-2,60,20,"Back to Work |AUTO| [Flip 1 Bond face-down] When an other ally is Growthed, you may pay the cost and if you do: Draw 1 card.","Crimea's Tactician |SPEC| When this card is sent to the Retreat Area from your hand as a result of an enemy's skill or an opponent's support skill, your opponent chooses 1 card in their hand, and sends it to the Retreat Area. This skill is only active if you have 1 or more <Green> Bond cards.",-,-
"Bastian, Crimea's Keystone",B05,B05-097N_SAMPLE.png,Green,N,2,Wind Mage,Male/Tome,1-2,40,20,"Stepping Stone to Victory |AUTO| [Once per Turn] When this unit is destroyed by an enemy's attack, choose 1 other ally. You  may choose 1 card with the same Unit Name as that ally from the Retreat Area, and stack it underneath that ally to Growth them. (A Growthed unit is treated as if they have Leveled Up. If they possess a [CCS], they are able to use it.))",-,-,-
"Kurthnaga, Prince of Goldoa",B05,B05-098R_SAMPLE.png,Green,R,4,Dragon Prince,Male/Fang/Flier/Dragon,1-2,60,20,"Successor of the Dragon King |AUTO| When this unit's attack destroys an enemy, choose 1 <Fang> ally. You may choose 1 card with the same Unit Name as that ally from your Retreat Area, and place it on top of that ally to Level Up them.",[LvS3] Black Dragon Breath |ACT| [Flip 2 Bonds face-down] Destroy all non-Main Character enemies. ([LvS3] becomes usable if a total of 3 or more cards are stacked with this unit.),-,-
